question,answer
Làm hộ chiếu thủ tục như thế nào,"Anh chị thuộc diện làm hộ chiếu nào để e tư vấn cụ thể ạ? 
Các diện làm hộ chiếu có: làm lần đầu, cấp lại do hết hạn, hư hỏng, mất, sai thông tin cá nhân,..."
Tôi có được làm hộ chiếu gắn chíp không?,Dạ hiện nay hộ chiếu phổ thông có cả 2 loại: hộ chiếu có gắn chíp và hộ chiếu không gắn chíp. Anh chị đăng ký chọn làm loại hộ chiếu nào cũng được ạ 
Hộ chiếu phổ thông có thời hạn bao lâu?,10 năm cho người từ 14 tuổi trở lên và 5 năm cho trẻ em dưới 14 tuổi.
Hộ chiếu công vụ và ngoại giao khác gì?,"Dành cho cán bộ khi công tác nước ngoài, miễn phí lệ phí và ưu tiên thủ tục."
Có các diện xin cấp hộ chiếu nào?,"Dạ đối tượng được xin cấp hộ chiếu gồm: 
cấp mới lần đầu tiên: 
- cấp lại do hc cũ hết hạn, sắp hết hạn, hết trang
- cấp lại do làm mất
- cấp lại do hc hư hỏng
- cấp lại do hc cũ sai thông tin
- và nhiều trường hợp khác. Anh / Chị thuộc diện xin cấp hộ chiếu nào em tư vấn thêm cho mình ạ?"
Bao nhiêu tuổi được làm hộ chiếu ?,"Dạ, không quy định độ tuổi tối thiểu; trẻ em từ mới sinh (đã có giấy khai sinh) đều được làm hộ chiếu. Trẻ em dưới 14 tuổi và người từ đủ 14 tuổi trở lên sẽ có thủ tục cấp hộ chiếu và thời hạn hộ chiếu khác nhau ạ."
Thời gian làm hộ chiếu bao lâu?,"Thời gian làm hộ chiếu online người lớn thường khoảng 15-20 ngày với người lớn; 20-25 ngày với trẻ em/ 
Tuy nhiên thực thế có thể nhanh / chậm tùy thuộc vào xuất nhập cảnh xử lý."
Thủ tục cấp hộ chiếu lần đầu cho người từ đủ 14 tuổi,"Anh / chị cần chuẩn bị: 
1. Căn cước đã định danh (2 mặt)
2. Ảnh thẻ kích thước 4x6 nền trắng (file mềm)
3. Giấy khai sinh
4. Sdt, địa chỉ nhận hộ chiếu nếu đăng ký nhận hộ chiếu qua chuyển phát nhanh.

Mục 1,2,3: bản chụp; mục 4 nhắn văn bản
Trong thời gian làm hộ chiếu: người làm hộ chiếu phải ở Việt Nam"
"Thủ tục cấp đổi / cấp lại hộ chiếu cho người từ đủ 14 tuổi
(bao gồm cấp lại do hộ chiếu bị mất, đổi hộ chiếu còn hạn , hết hạn, sắp hết hạn, hết trang)","Anh / chị cần chuẩn bị: 
1. Căn cước đã định danh ( chụp 2 mặt)
2. Ảnh thẻ kích thước 4x6 nền trắng (file mềm)
3. Giấy khai sinh
4. Mặt hộ chiếu cũ trang 2-3
4. Sdt, địa chỉ nhận hộ chiếu nếu đăng ký nhận hộ chiếu qua chuyển phát nhanh.


Mục 1,2,3,4: bản chụp; mục 5 nhắn văn bản
Trong thời gian làm hộ chiếu: người làm hộ chiếu phải ở Việt Nam"
"Thủ tục hộ chiếu lần đầu cho người dưới 14 tuổi
(bao gồm cấp lại do hộ chiếu bị mất, đổi hộ chiếu còn hạn , hết hạn, sắp hết hạn, hết trang)","Cha / Mẹ của bé (1 trong 2) cần chuẩn bị: 
1. Căn cước đã định danh (2 mặt của cha mẹ bé)
2. Ảnh thẻ kích thước 4x6 nền trắng (file mềm)
3. Giấy khai sinh (của bé)
4. Số định danh của bé
5. Sdt, địa chỉ nhận hộ chiếu nếu đăng ký nhận hộ chiếu qua chuyển phát nhanh.

* Mục 1,2,3: bản chụp ; mục 4,5: nhắn văn bản
Trong thời gian làm hộ chiếu: Cha / mẹ đại diện làm thủ tục cho bé và bé cần ở Việt Nam. Đồng thời đại diện + bé cần qua phường cư trú để xác minh cho bé."
Thủ tục hộ chiếu cấp đổi người dưới 14 tuổi,"Cha / Mẹ của bé (1 trong 2) cần chuẩn bị: 
1. Căn cước đã định danh (2 mặt của cha mẹ bé)
2. Ảnh thẻ kích thước 4x6 nền trắng (file mềm)
3. Giấy khai sinh (của bé)
4. Mặt hộ chiếu cũ trang 2-3
5. Số định danh của bé
6. Sdt, địa chỉ nhận hộ chiếu nếu đăng ký nhận hộ chiếu qua chuyển phát nhanh.

* Mục 1,2,3,4: bản chụp ; mục 5,6: nhắn văn bản
Trong thời gian làm hộ chiếu: Cha / mẹ đại diện làm thủ tục cho bé và bé cần ở Việt Nam. Đồng thời đại diện + bé cần qua phường cư trú để xác minh cho bé."
Hộ chiếu có làm khẩn được không.,"Dạ tùy từng trường hợp sẽ khác nhau. Anh/Chị đang cần phải có hộ chiếu vào ngày nào, tôi sẽ báo với cô chủ của tôi liên hệ tư vấn thêm ạ."
Hộ chiếu có giao tới nhà được không?,"Dạ tùy theo hình thức đăng ký nhận hộ chiếu khi làm xin cấp hộ chiếu của anh chị ạ. 
Nếu anh chị đăng ký nhận qua bưu điện thì Cơ quan Xuất nhập cảnh sẽ chuyển cho EMS ship về ạ.
Lưu ý hình thức nhận bưu điện anh chị cần đảm bảo điện thoại luôn liên hệ được để ship liên lạc"
Ảnh thẻ có cần phải mặc áo sơ mi hay có lưu ý gì không?,"Dạ Anh / Chị chỉ cần mặc trang phục gọn gàng, lịch sự là được. Lưu ý không đeo kính, tóc cần vén gọn gàng để lộ tai, lộ trán, nhận diện ảnh thẻ chân dung giống với nhận diện trên căn cước ạ."
Làm hộ chiếu có lưu ý đặc biệt gì không?,"Để quá trình cấp cấp hộ chiếu thuận lợi, anh chị cần đảm bảo nhận diện ảnh thẻ giống với căn cước, không phẫu thuật không chỉnh sửa sai nhận diện với căn cước. Đồng thời đảm bảo không vi phạm pháp luật, nợ thuế, có án tích, vượt biên…là sẽ thuận lợi ạ."
Chi phí làm hộ chiếu như thế nào?,"Dịch vụ làm hộ chiếu online thường trong 15-20 ngày là cấp lần đầu, cấp đổi hộ chiếu còn hạn, hết hạn: 300k; hộ chiếu cũ bị mất/hư hỏng: 500k; ngoài ra làm khẩn hộ chiếu có ngay sẽ có chi phí cao hơn nhiều ạ.  "